Date,DJI_Closing_value
Jan1987,2158.04
Feb1987,2223.99
Mar1987,2304.69
Apr1987,2286.36
May1987,2291.57
Jun1987,2418.53
Jul1987,2572.07
Aug1987,2662.95
Sep1987,2596.28
Oct1987,1993.53
Nov1987,1833.55
Dec1987,1938.83
Jan1988,1958.22
Feb1988,2071.62
Mar1988,1988.06
Apr1988,2032.33
May1988,2031.12
Jun1988,2141.71
Jul1988,2128.73
Aug1988,2031.65
Sep1988,2112.91
Oct1988,2148.65
Nov1988,2114.51
Dec1988,2168.57
Jan1989,2342.32
Feb1989,2258.39
Mar1989,2293.62
Apr1989,2418.8
May1989,2480.15
Jun1989,2440.06
Jul1989,2660.66
Aug1989,2737.27
Sep1989,2692.82
Oct1989,2645.08
Nov1989,2706.27
Dec1989,2753.2
Jan1990,2590.54
Feb1990,2627.25
Mar1990,2707.21
Apr1990,2656.76
May1990,2876.66
Jun1990,2880.69
Jul1990,2905.2
Aug1990,2614.36
Sep1990,2452.48
Oct1990,2442.33
Nov1990,2559.65
Dec1990,2633.66
Jan1991,2736.39
Feb1991,2882.18
Mar1991,2913.86
Apr1991,2887.87
May1991,3027.5
Jun1991,2906.75
Jul1991,3024.82
Aug1991,3043.6
Sep1991,3016.77
Oct1991,3069.1
Nov1991,2894.68
Dec1991,3168.83
Jan1992,3223.389
Feb1992,3267.665
Mar1992,3235.465
Apr1992,3359.123
May1992,3396.88
Jun1992,3318.519
Jul1992,3393.777
Aug1992,3257.345
Sep1992,3271.664
Oct1992,3226.277
Nov1992,3305.164
Dec1992,3301.112059
Jan1993,3310.027412
Feb1993,3370.813909
Mar1993,3435.112516
Apr1993,3427.547974
May1993,3527.427394
Jun1993,3516.078954
Jul1993,3539.472819
Aug1993,3651.251528
Sep1993,3555.121838
Oct1993,3680.593439
Nov1993,3683.9468
Dec1993,3754.08794
Jan1994,3978.357635
Feb1994,3832.022064
Mar1994,3635.963851
Apr1994,3681.691295
May1994,3758.368812
Jun1994,3624.961406
Jul1994,3764.495064
Aug1994,3913.417297
Sep1994,3843.183555
Oct1994,3908.116972
Nov1994,3739.222799
Dec1994,3834.436048
Jan1995,3843.85644
Feb1995,4011.049608
Mar1995,4157.685669
Apr1995,4321.267878
May1995,4465.137221
Jun1995,4556.09308
Jul1995,4708.465403
Aug1995,4610.555807
Sep1995,4789.078741
Oct1995,4755.480044
Nov1995,5074.487024
Dec1995,5117.117629
Jan1996,5395.300386
Feb1996,5485.619463
Mar1996,5587.138106
Apr1996,5569.07429
May1996,5643.171372
Jun1996,5654.622463
Jul1996,5528.908226
Aug1996,5616.20483
Sep1996,5882.163552
Oct1996,6029.376026
Nov1996,6521.699288
Dec1996,6448.260819
Jan1997,6813.082446
Feb1997,6877.73438
Mar1997,6583.474571
Apr1997,7008.985109
May1997,7331.036667
Jun1997,7672.789079
Jul1997,8222.606164
Aug1997,7622.41946
Sep1997,7945.254966
Oct1997,7442.078733
Nov1997,7823.120084
Dec1997,7908.238297
Jan1998,7906.496522
Feb1998,8545.712154
Mar1998,8799.804105
Apr1998,9063.362226
May1998,8899.946227
Jun1998,8952.008173
Jul1998,8883.285774
Aug1998,7539.063668
Sep1998,7842.62
Oct1998,8592.1083
Nov1998,9116.55
Dec1998,9181.429198
Jan1999,9358.819901
Feb1999,9306.572231
Mar1999,9786.163607
Apr1999,10789.03583
May1999,10559.74543
Jun1999,10970.8099
Jul1999,10655.14851
Aug1999,10829.28329
Sep1999,10336.95932
Oct1999,10729.86816
Nov1999,10877.81337
Dec1999,11497.12243
